"metro,location_tier,sqft,bedrooms,bathrooms,house_age,garage_spaces,lot_size,price"
"Columbus,3,1361,3,1,47,1,2269,218200"
"New York,1,1850,3,2,19,0,4455,1582000"
"San Francisco,1,716,2,1,15,2,1355,693700"
"Boston,1,2630,2,2,48,0,5876,1170200"
"Boston,1,3242,6,4,34,0,11370,1456800"
"Chicago,2,1952,3,2,2,0,4167,572200"
"Denver,2,519,3,1,4,1,877,395900"
"Phoenix,3,2296,3,2,19,1,4250,449800"
"Chicago,2,1312,1,1,45,2,1701,402200"
"Seattle,2,1469,2,1,24,1,5469,665900"
"Phoenix,3,2307,3,2,1,1,7271,578200"
"New York,1,2065,4,3,73,1,5157,1022800"
"San Francisco,1,1583,3,1,55,1,4386,1492100"
"San Francisco,1,1478,2,1,46,2,2825,1193000"
"Chicago,2,1982,3,1,19,2,4619,532000"
"Austin,2,1634,3,1,56,2,3424,598900"
"New York,1,1179,2,1,75,2,4137,787200"
"Austin,2,1684,2,1,54,2,5526,484300"
"New York,1,2121,4,2,23,1,4231,1018800"
"Chicago,2,1784,4,2,31,1,5948,628100"
"Austin,2,981,2,1,74,2,1435,312700"
"Seattle,2,2543,4,2,1,1,4494,999000"
"Boston,1,500,1,1,17,1,749,317000"
"Chicago,2,1610,2,1,8,3,3006,565100"
"Seattle,2,1497,2,1,51,1,2745,566700"
"San Francisco,1,1996,3,2,36,0,7428,1682600"
"New York,1,2265,3,1,10,1,4794,1453400"
"Indianapolis,3,2632,4,3,75,1,5776,297500"
"Columbus,3,1437,1,1,44,1,2126,253400"
"Chicago,2,2281,3,2,19,1,3159,682800"
"Boston,1,2027,4,3,75,1,3678,836500"
"Indianapolis,3,787,1,1,55,1,1241,124500"
"Phoenix,3,3135,5,3,10,0,6787,639700"
"Chicago,2,965,2,1,66,1,1661,265600"
"Austin,2,2173,4,2,4,0,3692,938900"
"Boston,1,2153,4,3,72,1,6487,949700"
"San Francisco,1,2079,3,3,31,2,7979,1623500"
"Columbus,3,1579,3,2,23,0,1950,273700"
"Austin,2,2438,5,3,4,3,7742,810200"
"New York,1,886,2,2,74,2,2699,492100"
"Boston,1,1857,2,1,44,1,5270,870000"
"Denver,2,1533,2,1,48,1,4811,508200"
"New York,1,1460,3,2,68,0,3832,944000"
"Columbus,3,2179,3,2,40,0,8270,360000"
"Phoenix,3,2600,5,3,23,3,4272,491600"
"Chicago,2,1677,3,2,62,2,4236,458700"
"Austin,2,2407,4,2,42,2,7290,829300"
"Chicago,2,1932,4,2,19,2,7234,610100"
"Denver,2,1320,2,1,67,3,3386,427900"
"Chicago,2,1732,3,2,65,2,6816,490700"
"San Francisco,1,1705,3,2,19,0,5180,1605200"
"Seattle,2,1447,1,1,51,1,4569,630200"
"San Francisco,1,2179,3,2,73,1,7607,1708700"
"Austin,2,2053,4,3,63,1,6682,545700"
"Seattle,2,866,1,1,15,1,2306,494600"
"New York,1,827,2,1,68,1,2781,544400"
"San Francisco,1,2176,2,1,4,2,2829,1711600"
"Denver,2,1370,1,1,49,0,5222,356700"
"New York,1,2096,4,2,40,2,7346,1795600"
"Indianapolis,3,2408,4,2,2,1,7189,274600"
"Denver,2,1074,2,2,58,0,1496,395400"
"Seattle,2,983,2,2,23,2,1991,526700"
"Denver,2,2988,5,2,68,1,5708,651300"
"San Francisco,1,2129,3,2,70,2,4087,1949700"
"Indianapolis,3,1627,2,1,47,2,5014,262200"
"Austin,2,1293,2,2,50,0,4724,324900"
"Phoenix,3,1568,3,2,4,1,4874,363500"
"San Francisco,1,1126,1,1,71,0,2577,860000"
"Austin,2,2474,4,2,54,0,9683,974600"
"Austin,2,1395,2,1,30,3,5043,502700"
"Indianapolis,3,2611,4,2,6,2,8144,285600"
"Denver,2,1640,3,2,40,1,3793,623300"
"Austin,2,1222,1,1,72,2,3806,417600"
"Boston,1,1623,3,2,69,3,3802,561100"
"Seattle,2,500,1,1,7,1,817,333100"
"Austin,2,1822,3,2,60,0,5343,621700"
"Austin,2,1789,2,1,6,2,5644,633200"
"San Francisco,1,2436,3,2,30,2,5306,1685600"
"Phoenix,3,674,1,1,35,1,2563,168100"
"Columbus,3,2655,4,2,1,1,9537,456100"
"New York,1,2433,4,2,10,1,6890,1734600"
"Denver,2,2714,5,2,70,2,3715,846000"
"San Francisco,1,1866,4,2,50,2,2329,1066400"
"Chicago,2,2559,3,2,62,1,7656,651700"
"Boston,1,944,1,1,45,2,3284,522000"
"Chicago,2,2363,3,2,35,1,6146,630400"
"Chicago,2,1399,2,2,1,2,1771,421400"
"Phoenix,3,827,1,1,43,2,1328,230000"
"San Francisco,1,1169,2,1,61,1,2094,1028600"
"Columbus,3,1904,4,3,16,1,5631,348600"
"New York,1,1364,3,1,39,1,3493,933500"
"San Francisco,1,2144,4,2,32,2,3186,1822600"
"Denver,2,725,3,2,69,2,1888,311300"
"Seattle,2,517,1,1,13,1,1879,292700"
"Phoenix,3,2792,3,2,8,3,6783,510300"
"Phoenix,3,2487,5,3,16,2,4027,550200"
"Boston,1,1218,1,1,12,0,3433,544600"
"Indianapolis,3,1898,2,1,67,1,7217,199000"
"Boston,1,2563,4,2,20,1,3907,1076400"
"Austin,2,2172,3,2,28,0,3558,749600"
"Boston,1,1996,3,1,20,3,5563,1175600"
"Indianapolis,3,2612,3,2,65,2,5621,318600"
"New York,1,1425,2,1,53,0,5283,922200"
"San Francisco,1,1920,4,2,37,1,6136,1556200"
"Austin,2,1888,3,2,63,1,3043,550500"
"Indianapolis,3,1723,2,2,5,1,6268,276000"
"Columbus,3,1647,2,1,54,1,4938,273800"
"Phoenix,3,1947,2,1,28,2,5027,345200"
"Columbus,3,1922,3,2,30,2,3687,304300"
"Columbus,3,1219,2,1,12,3,3680,256200"
"Austin,2,2421,3,2,7,1,8996,891800"
"Boston,1,1265,1,1,55,1,1654,466300"
"Phoenix,3,1758,3,2,68,2,3956,339200"
"Chicago,2,1708,2,2,72,1,6524,367900"
"Seattle,2,2133,4,3,19,1,4846,857000"
"San Francisco,1,523,1,1,61,3,680,513200"
"Phoenix,3,2479,3,2,8,2,3679,508500"
"Boston,1,1460,2,1,62,2,4576,818200"
"Indianapolis,3,2693,6,4,45,1,8511,413100"
"Boston,1,1589,3,2,68,1,2419,800500"
"New York,1,1868,3,1,5,1,3388,1414200"
"Phoenix,3,3144,5,3,62,1,8737,595200"
"New York,1,1720,1,1,37,0,5370,942600"
"New York,1,2705,3,2,45,2,4434,1694500"
"Denver,2,1925,1,1,43,1,4770,532300"
"Columbus,3,2170,5,3,57,1,6019,339200"
"New York,1,1945,4,3,47,2,2605,1333300"
"Boston,1,2451,4,2,33,2,4477,947400"
"Phoenix,3,1454,2,1,34,1,5486,285700"
"Indianapolis,3,1260,1,1,5,2,4617,210700"
"Austin,2,1485,2,1,57,1,3123,463100"
"New York,1,1965,4,3,56,1,7134,1209900"
"San Francisco,1,1756,3,2,45,0,5217,1245500"
"New York,1,2362,3,2,57,2,9326,1578500"
"New York,1,2748,3,2,21,2,10732,1757100"
"Chicago,2,1266,3,2,17,3,3706,426700"
"New York,1,1423,2,1,73,1,3572,771600"
"Austin,2,966,1,1,76,1,1544,265600"
"Chicago,2,3220,4,2,68,1,8646,959300"
"Denver,2,2098,2,2,4,3,4857,648700"
"New York,1,2212,3,2,43,2,6653,1099900"
"Phoenix,3,1029,2,1,58,3,1493,235200"
"Chicago,2,1899,3,1,2,1,6718,511000"
"Chicago,2,2231,4,2,77,1,8719,579900"
"New York,1,1736,3,2,62,1,3101,1104600"
"New York,1,2599,5,3,24,1,7724,1886400"
"Indianapolis,3,3403,5,3,40,1,11725,486700"
"Seattle,2,1284,4,2,72,0,3534,515900"
"Boston,1,1236,2,1,68,0,4721,639000"
"Austin,2,1329,1,1,66,1,3500,306300"
"Chicago,2,2944,4,3,78,3,5763,602500"
"Indianapolis,3,2578,4,3,59,2,6498,332600"
"Boston,1,1812,2,2,74,2,4650,647100"
"Indianapolis,3,1924,3,1,76,1,3676,230100"
"San Francisco,1,1369,1,1,1,2,4659,1101500"
"Denver,2,2479,4,2,52,1,7263,834100"
"Chicago,2,1653,2,2,26,0,3698,450300"
"San Francisco,1,1731,2,1,39,1,4121,1290300"
"New York,1,2296,4,3,13,0,5145,1497400"
"Seattle,2,1778,4,1,54,2,4363,643400"
"Indianapolis,3,1747,2,2,66,2,4680,276200"
"Denver,2,1907,3,2,32,1,4055,694900"
"Indianapolis,3,2417,3,1,55,2,8437,291600"
"Phoenix,3,2970,4,3,25,1,11284,737300"
"Austin,2,2281,3,2,59,1,6076,667900"
"Phoenix,3,2422,4,3,6,2,7731,497400"
"San Francisco,1,1770,2,2,70,2,6736,1425000"
"San Francisco,1,1440,4,3,30,2,2502,1313200"
"Phoenix,3,2325,4,2,40,0,4025,445100"
"Phoenix,3,2011,2,1,64,1,2822,338900"
"New York,1,975,1,1,2,0,2377,856300"
"Denver,2,1687,2,1,75,0,3589,424300"
"Denver,2,1846,3,2,49,0,5112,561100"
"Columbus,3,1568,1,1,78,0,3862,255400"
"Denver,2,2863,3,2,44,1,4960,691900"
"Seattle,2,2212,3,1,16,1,5077,872300"
"Seattle,2,2793,5,3,46,2,3578,1256800"
"Austin,2,2071,4,3,45,1,5601,757900"
"Chicago,2,1953,4,2,73,0,3826,523700"
"Columbus,3,1291,2,1,46,3,1955,193400"
"Austin,2,1908,3,2,32,2,2641,679900"
"Boston,1,1908,3,2,14,0,6106,918400"
"New York,1,1011,1,1,26,1,1913,930400"
"Phoenix,3,1549,1,1,46,1,4716,338700"
"Phoenix,3,1690,3,2,29,3,5887,394300"
"San Francisco,1,2169,3,2,29,1,5639,1744800"
"San Francisco,1,2200,3,2,1,0,3460,1740200"
"Denver,2,1522,2,1,75,2,4445,483300"
"New York,1,2205,4,2,66,2,3088,1252800"
"Phoenix,3,1782,3,1,20,1,6216,457700"
"Boston,1,500,1,1,10,1,1666,301800"
"New York,1,1585,3,2,66,1,3686,1056500"
"Indianapolis,3,2601,4,3,66,1,5081,317200"
"New York,1,807,1,1,71,1,2572,533700"
"Boston,1,1973,3,2,43,2,5501,1058100"
"New York,1,2930,4,2,58,2,4706,1453800"
"New York,1,1406,4,2,58,2,4676,969200"
"San Francisco,1,1901,3,2,17,2,4059,1273300"
"San Francisco,1,1052,2,1,41,1,3895,846500"
"New York,1,2958,4,2,20,1,10420,1628400"
"San Francisco,1,1846,4,3,60,2,3641,1466600"
"Denver,2,1930,4,3,77,0,3695,531700"
"Chicago,2,2780,5,3,6,0,6433,827000"
"Seattle,2,2330,4,2,6,0,8044,1166800"
"Boston,1,1331,3,2,21,2,2084,712400"
"Austin,2,1479,3,2,9,1,3084,630000"
"Columbus,3,2222,4,2,0,1,6767,480900"
"Columbus,3,1494,2,1,78,1,1933,185100"
"San Francisco,1,524,1,1,46,2,711,570800"
"New York,1,1865,2,2,62,0,6218,1185400"
"New York,1,938,1,1,45,1,2497,579900"
"Boston,1,2951,5,4,59,2,8149,1418300"
"Denver,2,2015,2,1,54,2,3822,582800"
"Seattle,2,1312,3,2,12,1,3528,530300"
"San Francisco,1,1446,2,1,12,1,3942,1040100"
"Seattle,2,672,1,1,39,3,1585,424800"
"Austin,2,1185,2,1,29,1,4622,466100"
"San Francisco,1,2561,4,3,67,2,3426,2220000"
"Phoenix,3,3351,5,4,24,2,7914,647700"
"San Francisco,1,2372,4,2,26,2,8541,1709100"
"Indianapolis,3,1840,3,1,42,0,3271,205700"
"San Francisco,1,1619,2,2,15,1,6181,1509500"
"Columbus,3,1278,1,1,68,1,3056,201300"
"Columbus,3,3239,6,4,0,1,5307,527500"
"Indianapolis,3,1777,1,1,67,1,2596,199600"
"Phoenix,3,3275,5,3,49,1,6929,703300"
"Phoenix,3,2806,4,2,71,1,10593,517900"
"Chicago,2,768,1,1,23,2,2941,270800"
"Phoenix,3,1467,1,1,72,1,4074,246100"
"New York,1,1465,2,2,69,1,2243,884000"
"Denver,2,1848,3,2,36,1,4580,629900"
"Austin,2,1861,4,3,22,2,4410,575700"
"Columbus,3,3848,6,4,15,0,7107,617700"
"Austin,2,1200,1,1,12,2,1695,512300"
"Seattle,2,2049,3,2,46,1,4648,825300"
"Chicago,2,2301,4,3,76,1,5157,640700"
"Boston,1,1899,2,2,45,2,6022,1053300"
"New York,1,1972,3,2,77,1,4543,1363700"
"Austin,2,1221,2,1,60,2,1510,378100"
"Seattle,2,1969,3,1,54,3,2473,781700"
"New York,1,2232,5,3,57,0,6975,1535600"
"Seattle,2,2113,3,2,74,1,6445,777500"
"Seattle,2,2271,4,3,68,3,3745,859700"
"Seattle,2,2818,4,2,12,2,10216,1127400"
"Seattle,2,2509,4,2,46,2,7666,1347100"
"Chicago,2,1946,4,2,36,1,3175,506500"
"Boston,1,1138,1,1,70,1,2282,565600"
"Indianapolis,3,1510,2,1,16,2,5929,239300"
"Columbus,3,1757,2,1,65,2,4114,323400"
"Austin,2,2064,2,1,38,1,3845,630400"
"Seattle,2,1589,3,2,74,0,4239,626000"
"Denver,2,1292,2,1,63,2,2294,306500"
"Columbus,3,1128,1,1,27,1,3854,246900"
"Chicago,2,827,3,1,67,3,2832,299500"
"Phoenix,3,1747,2,1,14,1,6014,331300"
"Denver,2,945,1,1,0,1,2767,434600"
"Chicago,2,1250,3,2,40,1,3929,316300"
"Boston,1,1644,2,1,31,1,3452,841800"
"Chicago,2,1032,1,1,10,1,3778,329200"
"New York,1,2147,2,1,79,0,3443,1462400"
"Chicago,2,2381,3,2,3,1,4554,671300"
"Columbus,3,1543,2,1,47,1,6140,293200"
"New York,1,1616,3,2,20,2,6285,1364200"
"Denver,2,2249,4,2,23,1,5895,697300"
"San Francisco,1,1436,2,2,16,1,3730,1199100"
"Chicago,2,1391,2,1,31,2,2124,340700"
"San Francisco,1,2678,3,2,53,0,8160,1903500"
"Indianapolis,3,2475,4,2,25,1,3185,441600"
"New York,1,2291,4,3,57,2,4766,1637400"
"Indianapolis,3,2502,5,2,35,1,5933,324300"
"Phoenix,3,615,1,1,62,1,2277,169900"
"Denver,2,2780,4,2,35,2,10874,918100"
"Phoenix,3,2155,3,1,29,3,8463,512700"
"Phoenix,3,2557,4,2,40,2,8788,555500"
"Indianapolis,3,2152,4,3,54,1,4330,329800"
"Boston,1,1932,3,1,37,2,2564,682600"
"Denver,2,1721,2,1,72,1,4116,549200"
"San Francisco,1,2139,2,2,41,1,4348,1174500"
"Denver,2,1697,3,2,23,1,5150,647100"
"New York,1,2464,5,2,2,2,5517,1733500"
"Denver,2,869,1,1,31,1,3210,355500"
"Denver,2,1548,3,2,4,2,3479,577200"
"Austin,2,3229,6,3,2,3,7292,1269000"
"Austin,2,1493,2,1,29,1,4965,534400"
"Phoenix,3,1745,2,1,23,0,4977,374900"
"Phoenix,3,1326,2,2,70,3,2539,286000"
"Austin,2,2118,4,2,58,1,6555,856200"
"Denver,2,1421,3,1,63,2,3945,476100"
"Indianapolis,3,1779,3,2,43,0,2653,216300"
"New York,1,2452,3,2,8,1,6150,1544600"
"New York,1,1446,2,1,68,1,5455,1000800"
"San Francisco,1,2413,4,2,39,1,4327,2098400"
"Chicago,2,2434,4,3,34,3,5746,612500"
"Seattle,2,2586,5,3,48,1,5101,1329900"
"Phoenix,3,1991,1,1,13,1,5382,421100"
"Chicago,2,4007,6,4,38,2,15749,1114300"
"Seattle,2,2585,4,3,48,3,5345,903300"
"Columbus,3,2111,2,2,55,1,7456,382500"
"Phoenix,3,1331,3,2,40,2,4721,299800"
"Boston,1,1837,2,1,79,0,3539,691600"
"Seattle,2,2827,4,2,79,2,9508,1056000"
"Boston,1,3011,6,4,7,2,11944,1780400"
"New York,1,2861,5,3,6,2,11076,2114800"
"New York,1,2410,4,2,41,2,6980,1431700"
"Indianapolis,3,1084,2,1,66,3,1761,156400"
"Austin,2,2217,3,2,40,1,3401,839400"
"Seattle,2,1093,3,2,17,2,2128,543000"
"Chicago,2,933,2,1,44,2,2690,308900"
"Denver,2,2055,3,2,75,1,4688,643800"
"Indianapolis,3,2240,2,1,13,3,7072,209800"
"Phoenix,3,2487,4,2,35,2,8470,596800"
"Austin,2,2223,3,1,51,2,3791,631000"
"Seattle,2,2246,2,1,31,1,8388,885900"
"Indianapolis,3,1260,2,1,3,2,1726,278000"
"Chicago,2,1832,3,2,53,1,3557,555800"
"Indianapolis,3,920,2,1,59,3,3203,172900"
"New York,1,598,1,1,52,0,1025,460700"
"Columbus,3,2381,3,2,53,2,4325,412300"
"Chicago,2,1410,3,2,52,0,5544,461800"
"New York,1,2467,3,1,26,2,9263,1963800"
"Denver,2,2620,4,2,1,1,9106,874600"
"Chicago,2,1497,2,2,79,2,2525,336200"
"San Francisco,1,2284,4,2,16,2,4372,1753700"
"Austin,2,1470,2,1,66,1,2732,465000"
"Phoenix,3,700,2,2,43,2,1211,194100"
"Boston,1,1980,4,1,43,2,7756,845500"
"Austin,2,1594,2,1,1,1,2654,613800"
"Austin,2,1614,1,1,79,1,5311,394300"
"Boston,1,3184,6,3,42,1,4276,1449200"
"Columbus,3,908,1,1,66,0,2472,143600"
"Phoenix,3,2149,3,2,62,1,3005,400400"
"New York,1,1253,2,1,11,1,1720,1000700"
"Indianapolis,3,2490,4,2,75,1,4593,349300"
"Columbus,3,2094,4,2,47,3,7940,472000"
"Boston,1,2147,3,2,14,0,6417,979200"
"Phoenix,3,1286,3,2,46,2,3889,309200"
"San Francisco,1,1402,3,1,49,2,2851,1134000"
"Indianapolis,3,2503,4,2,52,2,8075,373400"
"Chicago,2,3051,4,3,25,1,9484,686300"
"Chicago,2,2212,4,2,75,1,5514,465000"
"San Francisco,1,1317,3,2,18,2,4098,1158800"
"Columbus,3,2120,4,2,39,2,7691,304000"
"San Francisco,1,3478,5,3,67,2,13526,2506300"
"Boston,1,1967,3,2,6,1,7849,936500"
"New York,1,2850,5,3,32,1,7317,1819500"
"Phoenix,3,1419,2,1,38,1,1833,329500"
"New York,1,1873,2,1,61,2,3450,1026100"
"Columbus,3,2303,3,1,63,2,4033,374800"
"Chicago,2,2158,3,2,63,1,4406,494600"
"San Francisco,1,1402,3,2,28,1,3098,1099500"
"San Francisco,1,1374,3,2,39,0,4221,1176500"
"San Francisco,1,2542,3,2,2,1,6792,1938000"
"Denver,2,2675,4,3,65,1,8077,709700"
"Phoenix,3,2883,4,2,24,0,11305,560800"
"New York,1,3073,5,3,37,1,4110,1546600"
"Columbus,3,1988,3,1,54,2,2466,318100"
"San Francisco,1,1698,2,1,62,2,5202,803400"
"Phoenix,3,2778,3,2,6,1,7583,632700"
"Indianapolis,3,2363,4,2,61,0,6030,344700"
"Phoenix,3,1261,2,2,30,2,4526,368500"
"Chicago,2,1228,1,1,33,1,2020,428800"
"Phoenix,3,2220,3,2,10,1,6230,532600"
"San Francisco,1,1785,4,2,57,1,6800,1296400"
"New York,1,18830,2,1,38,3,4610,1589000"
"New York,1,2597,3,2,8,1,7333,1498500"
"Austin,2,2393,5,3,11,3,3341,663700"
"Phoenix,3,2764,4,2,57,1,6019,627600"
"Chicago,2,645,1,1,8,0,849,256000"
"Columbus,3,2065,3,1,41,1,5787,259100"
"New York,1,2352,4,2,55,2,6711,1288300"
"Chicago,2,908,1,1,72,1,3507,252200"
"New York,1,1474,3,2,12,1,4404,977000"
"Boston,1,1354,3,2,23,3,1636,662600"
"Chicago,2,1914,4,2,12,1,6762,704600"
"Indianapolis,3,2958,4,3,70,0,6280,482100"
"Denver,2,3215,6,4,47,2,10288,1023800"
"San Francisco,1,1371,2,2,78,1,2659,989300"
"Denver,2,2242,3,1,3,1,7463,816100"
"San Francisco,1,2263,3,2,56,2,8593,1620100"
"Columbus,3,2152,4,3,2,1,3060,288700"
"Chicago,2,2159,4,3,8,1,5882,421700"
"New York,1,2097,3,2,34,1,5689,1389200"
"San Francisco,1,2997,5,2,29,0,6000,2479600"
"New York,1,2617,4,3,29,1,5644,1736600"
"Indianapolis,3,1211,1,1,5,1,3746,246000"
"Austin,2,2417,3,1,43,1,4881,844900"
"Phoenix,3,2480,4,2,27,0,3189,561100"
"Chicago,2,2105,3,1,79,1,7060,515700"
"Denver,2,2635,3,1,63,1,7775,774000"
"New York,1,2022,4,3,34,1,3844,1369800"
"Indianapolis,3,2030,3,2,61,3,7901,300300"
"Boston,1,1979,4,2,46,0,7353,766400"
"Denver,2,588,1,1,39,1,2293,272400"
"Chicago,2,1848,3,1,73,2,4868,435600"
"Chicago,2,1466,2,2,46,0,2725,366200"
"Indianapolis,3,1129,1,1,38,3,1904,179000"
"New York,1,2832,4,3,45,2,10920,1585400"
"Austin,2,2228,5,3,62,1,8231,749700"
"Seattle,2,1881,3,3,59,1,6160,834700"
"Austin,2,1533,2,1,43,1,4031,473100"
"New York,1,2093,2,1,14,2,4764,1588200"
"New York,1,2544,3,2,50,0,8064,1551800"
"Boston,1,1362,2,1,34,2,1671,545200"
"Boston,1,1897,2,1,74,2,5061,967300"
"Austin,2,2464,4,2,72,2,7639,805500"
"Denver,2,642,1,1,0,0,2125,324400"
"Chicago,2,1863,3,2,79,2,4589,512100"
"Seattle,2,1621,3,1,72,2,5327,578600"
"Seattle,2,1813,4,2,72,0,2662,653100"
"New York,1,1574,1,1,39,2,2917,1169500"
"Denver,2,1989,2,1,21,0,3192,734900"
"Boston,1,3150,4,2,48,3,6777,1429200"
"San Francisco,1,1689,3,2,70,0,3655,1148300"
"Seattle,2,2090,2,1,36,1,4696,1005700"
"Austin,2,3197,6,4,78,2,8006,942200"
"New York,1,1542,2,1,20,0,3734,1095300"
"Denver,2,3080,5,3,68,1,7926,849300"
"Denver,2,1903,4,2,5,0,6294,678700"
"Chicago,2,3058,5,3,67,2,4886,661700"
"Chicago,2,2388,4,3,75,0,5211,552100"
"Chicago,2,2100,3,2,56,2,2521,486300"
"Boston,1,1857,2,1,49,1,2375,887700"
"Phoenix,3,1494,2,1,32,1,4330,327200"
"Denver,2,1949,5,4,69,1,7119,699800"
"Austin,2,2483,4,3,10,1,5106,780500"
"Chicago,2,1891,3,2,23,3,4397,533600"
"Seattle,2,1694,2,1,10,2,3028,803700"
"Austin,2,1737,3,2,22,3,2779,702200"
"Chicago,2,2545,3,2,41,2,9354,558800"
"Columbus,3,2696,3,2,26,2,7554,463700"
"Indianapolis,3,1466,2,1,33,3,4653,224200"
"Austin,2,1465,4,3,18,1,5376,657600"
"Austin,2,2147,5,3,28,3,6114,968600"
"Phoenix,3,2893,4,3,39,0,4932,376600"
"Boston,1,2645,4,3,17,0,8457,1173800"
"Phoenix,3,1086,1,1,74,1,3577,211300"
"Austin,2,1728,3,2,71,1,4076,551200"
"New York,1,1295,2,1,70,1,3791,922400"
"San Francisco,1,1726,3,2,0,1,4413,1464900"
"Columbus,3,2943,5,3,39,1,6276,441700"
"San Francisco,1,975,1,1,63,2,3006,673400"
"Boston,1,848,2,2,27,1,1605,419700"
"Seattle,2,1361,2,1,18,1,2881,557500"
"New York,1,2087,4,3,48,2,4875,1313300"
"Boston,1,2303,3,2,0,2,6727,1209500"
"Phoenix,3,2184,4,2,48,2,7832,447900"
"San Francisco,1,2664,4,2,36,1,7784,1873500"
"Phoenix,3,754,1,1,54,0,2438,143900"
"Columbus,3,2672,5,2,54,3,5396,390700"
"Seattle,2,1697,2,2,42,0,4828,655700"
"New York,1,2375,3,1,46,2,3541,1367000"
"Denver,2,1040,1,1,2,1,2597,431900"
"New York,1,1903,2,1,78,1,5960,1362100"
"Seattle,2,2054,3,2,6,2,3498,775600"
"Indianapolis,3,2651,4,2,78,1,9877,407100"
"Indianapolis,3,870,2,1,77,0,2060,126300"
"Phoenix,3,1920,3,2,57,2,5912,399100"
"Boston,1,1195,3,2,59,0,3006,681300"
"Chicago,2,2229,4,2,2,1,7245,635000"
"Chicago,2,2405,3,2,75,1,6821,608100"
"Seattle,2,2737,4,3,42,1,4224,1105700"
"Chicago,2,1552,3,1,27,2,5881,465000"
"San Francisco,1,2503,5,3,53,1,7630,2031100"
